t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py,trial_index,stimulus_state,stimulus_angle_deg,stimulus_x,stimulus_y,fixation_x,fixation_y
1765400529.314832,-0.011712395298935932,-176.3515348125452,0.26260296637779856,nan,0,nan,nan,nan,nan,7,center,,,,360,570
1765400529.444566,1.6112755860291401,-176.23874386395113,0.2761103375472915,0.5921052631578947,1,990,540,1182,539,7,center,,,,360,570
1765400529.5792818,1.7526444888398185,-176.8226991976467,0.4305766308024138,0.5933333333333333,1,989,540,1183,539,7,center,,,,360,570
1765400529.7124102,1.432364121837982,-176.12870497473077,-0.16754788199402024,0.5964035087719298,1,989,539,1181,540,7,center,,,,360,570
1765400529.846133,0.911109745523952,-176.1990895399777,0.250885239768619,0.5950956937799043,1,990,540,1181,539,7,gap,,,,360,570
1765400529.977935,1.4651544054553034,-176.29220775099327,0.28201054743725196,0.5844155844155844,1,990,540,1179,542,7,gap,,,,360,570
1765400530.110456,1.7438603497608773,-175.44342929878908,0.3399388259375237,0.5986842105263158,1,990,540,1183,538,7,target,294.36532416278254,446,378,360,570
1765400530.2436538,1.6155228898750755,-175.91934938730802,0.15315383722281004,0.5454545454545454,0,989,540,1176,539,7,target,294.36532416278254,446,378,360,570
1765400530.379118,1.1549709627079379,-176.46502149747167,0.46269956568509507,0.5584415584415584,1,990,540,1178,537,7,target,294.36532416278254,446,378,360,570
1765400530.5148668,1.084714967901167,-176.1715833716788,0.6181372867624932,0.5401849217638691,0,991,538,1175,537,7,target,294.36532416278254,446,378,360,570
1765400530.64207,1.343719018245348,-177.1409009804869,0.4239413072141359,0.5657894736842105,0,991,537,1179,537,7,target,294.36532416278254,446,378,360,570
1765400530.780279,0.4236176170947158,-176.43159875981965,0.34414015998894376,0.5831578947368421,0,990,536,1180,538,7,target,294.36532416278254,446,378,360,570
1765400530.915255,0.5161030566296406,-176.4200704548431,0.6998048661780903,0.5394736842105263,0,990,536,1174,540,7,target,294.36532416278254,446,378,360,570
1765400531.0444732,-0.011063599672289806,-176.25072462775765,0.6290416524917715,0.5460526315789473,0,990,535,1174,541,7,target,294.36532416278254,446,378,360,570
1765400531.1806662,0.5640071978154414,-176.73051817687588,0.8046650785444959,0.5526315789473684,0,989,536,1175,541,7,target,294.36532416278254,446,378,360,570
1765400531.31466,0.38743171802632387,-176.26093559476382,0.19905771228346172,0.5698245614035087,0,989,536,1177,541,7,target,294.36532416278254,446,378,360,570
1765400531.446342,2.166231963071846,-176.47881834629814,0.3378218396007776,0.5789473684210527,0,989,536,1180,536,7,target,294.36532416278254,446,378,360,570
1765400531.57678,2.1497353125207486,-176.63444570356685,0.5425331922996892,0.5361414900888585,0,988,536,1174,536,7,target,294.36532416278254,446,378,360,570
1765400531.714626,3.1307586099305453,-176.27948639691107,0.5190277437879397,0.5263157894736843,0,987,536,1174,536,8,center,,,,160,177
1765400531.84674,1.9238444878571697,-176.41108573705068,0.20822182519730484,0.5526315789473684,0,987,536,1175,536,8,center,,,,160,177
1765400532.016463,2.042022686681446,-175.72123561025273,0.45376133909851407,0.5488721804511278,0,988,536,1174,534,8,center,,,,160,177
1765400532.139039,3.0835501133245824,-177.45498086673865,0.5358696013594941,nan,0,nan,nan,nan,nan,8,center,,,,160,177
1765400532.274595,2.473668613274858,-177.5304055192951,0.3957099163651886,nan,0,nan,nan,nan,nan,8,center,,,,160,177
1765400532.415873,1.7354827743601324,-175.90613318364578,0.3362849225770856,0.5844155844155844,0,992,536,1180,540,8,center,,,,160,177
1765400532.546986,-0.8721739979489379,-176.30837755816086,0.5418692431925155,0.618421052631579,0,993,534,1184,534,8,center,,,,160,177
1765400532.678571,0.6953408624963209,-175.78881260635094,0.54116933447163,0.6061438561438561,0,993,534,1184,535,8,center,,,,160,177
1765400532.817142,0.3676722120699978,-176.1792181148122,0.057704811325276724,0.5872460872460872,0,993,534,1180,534,8,gap,,,,160,177
1765400532.948511,-0.7544305729901468,-175.97757444351296,0.2041275825820974,0.5743423243423244,0,993,534,1179,533,8,gap,,,,160,177
1765400533.0808609,1.5460961893516443,-175.93722188432403,0.25256779353868725,0.5789473684210527,0,993,534,1179,533,8,target,251.31164641248532,92,14,160,177
1765400533.2154071,0.32015574637398614,-175.97010548256685,0.4787628361183843,0.5815105946684894,0,993,535,1179,533,8,target,251.31164641248532,92,14,160,177
1765400533.3485608,-1.1880338529221122,-175.77387804589412,0.23529788592270515,0.5897435897435898,0,993,535,1180,534,8,target,251.31164641248532,92,14,160,177
1765400533.483788,1.2912735581226007,-176.05093176220782,0.2809648878444915,0.5974025974025974,0,994,535,1180,534,8,target,251.31164641248532,92,14,160,177
1765400533.646629,1.6958237685984454,-176.05442502433522,0.6532504266895344,0.5872460872460872,0,995,534,1180,533,8,target,251.31164641248532,92,14,160,177
